iter	Logloss
0	0.690502243
1	0.6875115967
2	0.6851455688
3	0.6827856445
4	0.6804640198
5	0.6781710815
6	0.675836792
7	0.6738619995
8	0.6716375732
9	0.6697816467
10	0.66762146
11	0.6658506012
12	0.6639103699
13	0.6616046906
14	0.659357605
15	0.6578692627
16	0.6560879517
17	0.6542686462
18	0.6523838806
19	0.650559082
20	0.6490509796
21	0.6473111725
22	0.6456012726
23	0.6439660645
24	0.6423605347
25	0.6412202454
26	0.639444313
27	0.6375535583
28	0.6359545517
29	0.6341681671
30	0.6329018402
31	0.6310603333
32	0.6295861816
33	0.6279898834
34	0.6268717957
35	0.6253713226
36	0.6241799545
37	0.622766037
38	0.6216687775
39	0.6200986481
40	0.6186360931
41	0.6172896576
42	0.6162862015
43	0.6151374817
44	0.614192543
45	0.6132992935
46	0.6123228836
47	0.6110240555
48	0.6097750473
49	0.6086003113
50	0.6071916962
51	0.6057736588
52	0.6045700836
53	0.6037145233
54	0.602514267
55	0.6012369537
56	0.6006569672
57	0.5994696045
58	0.5983213043
59	0.5972200012
60	0.5958585358
61	0.5950001526
62	0.5939871216
63	0.5930082321
64	0.5921697998
65	0.5908230591
66	0.5900074005
67	0.5889238739
68	0.5879758835
69	0.5873545837
70	0.5865398026
71	0.5853912354
72	0.5847011566
73	0.5839391708
74	0.5832392883
75	0.5825226974
76	0.5817409134
77	0.580402298
78	0.5795729828
79	0.578869133
80	0.5776065445
81	0.5769220734
82	0.5762449646
83	0.5754818726
84	0.5747924423
85	0.5741514587
86	0.5732463074
87	0.5720673752
88	0.5711760712
89	0.5703400421
90	0.5697606659
91	0.5688915253
92	0.5681829071
93	0.5677298355
94	0.5670759964
95	0.5665566254
96	0.5655684662
97	0.5650225449
98	0.5646456909
99	0.5638936234
100	0.5633209991
101	0.5629450226
102	0.5622740173
103	0.5615385437
104	0.5610136032
105	0.560538559
106	0.559385376
107	0.5588606262
108	0.5581513214
109	0.5574731064
110	0.5566419601
111	0.5557830429
112	0.5553334808
113	0.5546470642
114	0.5539204407
115	0.5534452057
116	0.5529195404
117	0.5523203278
118	0.5518792343
119	0.5513022614
120	0.5508350372
121	0.5502452469
122	0.5498706818
123	0.5494211578
124	0.5488893127
125	0.5484257507
126	0.547964859
127	0.5473619843
128	0.5469571686
129	0.546213913
130	0.5457878113
131	0.5451023865
132	0.5445105743
133	0.5438343048
134	0.5432287216
135	0.5424682236
136	0.5421482086
137	0.5418001938
138	0.5412399292
139	0.5405315399
140	0.540069046
141	0.5397003174
142	0.5392038727
143	0.5386927032
144	0.5382064819
145	0.5377133942
146	0.5374019241
147	0.5367266083
148	0.5361758804
149	0.5358482742
150	0.5353465271
151	0.5348683167
152	0.5345116806
153	0.534239769
154	0.5335486603
155	0.5331171036
156	0.5327402115
157	0.5323988724
158	0.5319252777
159	0.5316887283
160	0.5309434509
161	0.5307077789
162	0.5303374863
163	0.5298750305
164	0.5294402313
165	0.5291109467
166	0.528509903
167	0.5279903412
168	0.5274243546
169	0.5269758224
170	0.526554451
171	0.5265135956
172	0.525909729
173	0.5254524994
174	0.5250553894
175	0.524646759
176	0.5242546082
177	0.5238678741
178	0.52352005
179	0.5229059982
180	0.5223457336
181	0.5218052292
182	0.521447525
183	0.5210223389
184	0.5203313446
185	0.5198430634
186	0.5194711304
187	0.5188195038
188	0.5187304687
189	0.518373909
190	0.5180197144
191	0.5177874756
192	0.5174536896
193	0.5168832779
194	0.5166014481
195	0.516163826
196	0.5155421448
197	0.5151128387
198	0.5146402359
199	0.5141846466
